         Anna     Ben    Cleo    Dane    Elle    Finn    Gail    Hugo    Iris    Jude    Kara    Liam    Mina    Nico    Owen     Pia    Quin    Rhea    Seth    Tess
 Anna       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  Ben       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Cleo       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Dane       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Elle       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Finn       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Gail       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Hugo       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Iris       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Jude       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Kara       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Liam       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Mina       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Nico       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Owen       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  Pia       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Quin       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Rhea       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Seth       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
 Tess       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
